op_index,op,class,decisive_note
781,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
782,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
783,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
784,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
785,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
786,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
787,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
788,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
789,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
790,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
791,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
792,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
793,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
794,conv,missing-envelope,"rank-3 spelling rejected by convSurface (requires rank-4 fp16 NCHW batch=1); rank-4 re-spell would still need surface in kConvTasks: in=(1, 1024, 375) out=(1, 2048, 375) k=? s=1 g=1 pad_type 'valid'"
795,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
796,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
797,split,missing,no H13 encoder for 'split': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
798,sigmoid,missing-envelope,"no Sigmoid surface for (1, 1024, 375): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
799,mul,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
800,select,missing,no H13 encoder for 'select': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
801,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
802,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
803,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
804,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
805,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
806,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
807,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
808,conv,missing-envelope,"rank-3 spelling rejected by convSurface (requires rank-4 fp16 NCHW batch=1); rank-4 re-spell would still need surface in kConvTasks: in=(1, 1024, 375) out=(1, 1024, 375) k=? s=1 g=1024 pad_type 'custom'"
809,silu,missing-envelope,"no Silu surface for (1, 1024, 375): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
810,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
811,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
812,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
813,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
814,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
815,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
816,conv,missing-envelope,"rank-3 spelling rejected by convSurface (requires rank-4 fp16 NCHW batch=1); rank-4 re-spell would still need surface in kConvTasks: in=(1, 1024, 375) out=(1, 1024, 375) k=? s=1 g=1 pad_type 'valid'"
817,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
818,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
819,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
820,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
821,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
822,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
823,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
824,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
825,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
826,silu,missing-envelope,"no Silu surface for (1, 375, 4096): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
827,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
828,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
829,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
830,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
831,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
832,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
833,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
834,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
835,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
836,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
837,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
838,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
839,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
840,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
841,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
842,silu,missing-envelope,"no Silu surface for (1, 375, 4096): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
843,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
844,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
845,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
846,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
847,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
848,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
849,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
850,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
851,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
852,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
853,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
854,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
855,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
856,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
857,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
858,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
859,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
860,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
861,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
862,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
863,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
864,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
865,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
866,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
867,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
868,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
869,add,direct,whole-tensor constant fold (add/mul/max/min; sub folds as sign-flipped add; real_div folds only for powers of two)
870,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
871,add,direct,whole-tensor constant fold (add/mul/max/min; sub folds as sign-flipped add; real_div folds only for powers of two)
872,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
873,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
874,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
875,matmul,normalization-needed,"const-weight matmul 3000x128x749 tx=False ty=False outside parity envelope; falls to the source-qualified chunked matvec path (per-row/512-column slices, physical reduction 256/512, weight must be a const with BLOBFILE payload — this proto stores it inline, so the handoff must re-emit weight.bin ..."
876,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
877,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
878,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
879,pad,missing,no H13 encoder for 'pad': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
880,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
881,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
882,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
883,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
884,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
885,slice_by_index,missing,no H13 encoder for 'slice_by_index': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
886,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
887,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
888,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
889,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
890,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
891,slice_by_index,missing,no H13 encoder for 'slice_by_index': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
892,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
893,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
894,select,missing,no H13 encoder for 'select': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
895,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
896,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
897,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
898,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
899,matmul,missing-envelope,"runtime-operand matmul rows=3000 red=128 cols=375 tx=False ty=True y=(1, 8, 375, 128): outside kMatmulEnvelopeTasks (rows decoded only for 1 and 16); runtime-weight matmul is parity-path-only — reject h13.matmul-outside-envelope; no chunked fallback exists for runtime operands"
900,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
901,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
902,softmax,missing-envelope,"softmax template lookup in=(8, 375, 375) out=(8, 375, 375) axis-mask=0x08: absent from kNormTasks (44 decoded softmax programs; largest spatial 256x256); normParityPlan is softmax's only path (no generic fallback)"
903,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
904,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
905,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
906,matmul,missing-envelope,"runtime-operand matmul rows=3000 red=375 cols=128 tx=False ty=False y=(1, 8, 375, 128): outside kMatmulEnvelopeTasks (rows decoded only for 1 and 16); runtime-weight matmul is parity-path-only — reject h13.matmul-outside-envelope; no chunked fallback exists for runtime operands"
907,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
908,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
909,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
910,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
911,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
912,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
913,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
914,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
915,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
916,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
917,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
918,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
919,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
920,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
921,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
922,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
923,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
924,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
925,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
926,conv,missing-envelope,"rank-3 spelling rejected by convSurface (requires rank-4 fp16 NCHW batch=1); rank-4 re-spell would still need surface in kConvTasks: in=(1, 1024, 375) out=(1, 2048, 375) k=? s=1 g=1 pad_type 'valid'"
927,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
928,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
929,split,missing,no H13 encoder for 'split': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
930,sigmoid,missing-envelope,"no Sigmoid surface for (1, 1024, 375): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
931,mul,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
932,select,missing,no H13 encoder for 'select': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
933,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
934,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
935,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
936,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
937,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
938,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
939,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
940,conv,missing-envelope,"rank-3 spelling rejected by convSurface (requires rank-4 fp16 NCHW batch=1); rank-4 re-spell would still need surface in kConvTasks: in=(1, 1024, 375) out=(1, 1024, 375) k=? s=1 g=1024 pad_type 'custom'"
941,silu,missing-envelope,"no Silu surface for (1, 1024, 375): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
942,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
943,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
944,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
945,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
946,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
947,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
948,conv,missing-envelope,"rank-3 spelling rejected by convSurface (requires rank-4 fp16 NCHW batch=1); rank-4 re-spell would still need surface in kConvTasks: in=(1, 1024, 375) out=(1, 1024, 375) k=? s=1 g=1 pad_type 'valid'"
949,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
950,transpose,missing,no H13 encoder for 'transpose': lowerOperation final reject 'H13 has no source-qualified encoder for' (ANEH13Compiler.mm:1349-1350)
951,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
952,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
953,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
954,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
955,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
956,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
957,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
958,silu,missing-envelope,"no Silu surface for (1, 375, 4096): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
959,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
960,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
961,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
962,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
963,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
964,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
965,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
966,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
967,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
968,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
969,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
970,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
971,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
972,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
973,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
974,silu,missing-envelope,"no Silu surface for (1, 375, 4096): kElementwiseTasks carries unary ops only on channel-vector surfaces (C,1,1) C<=4096; unary ops have NO generic fallback (parityPlan-only path)"
975,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
976,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
977,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
978,mul,direct,"inline fp16 scalar mul fold (splat constant, 64-element slices)"
979,add,direct,"h13-source-qualified two-runtime same-shape binary, 64-element slices (rung 01-add-legacy proven path)"
980,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
981,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
982,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
983,layer_norm,missing,"normParityPlan hard-rejects affine layer_norm: requires args==3, fp32 epsilon==1e-5, NO gamma/beta ('Apple's compiler in this harness rejects every affine form', ANEH13Compiler.mm:751-792); all 120 here carry gamma+beta with epsilon as an fp16 const; additionally the affine-less core surface (1,3..."
984,constexpr_lut_to_dense,normalization-needed,"4-bit palettization wrapper (fp16 LUT 64 or 256 groups x 16 centroids, uint4 indices) over weight.bin blob data: decompress to dense fp16 at weight-prep and emit as const BLOBFILE; no H13 encoder consumes palettized data"
985,linear,normalization-needed,"weight producer is constexpr_lut_to_dense (constexpr_lut_to_dense), so constantValue(weight) is false and the linear handler rejects with h13.linear-nonconstant-weight; host LUT decompression (fp16 LUT [G,1,16,1] + uint4 indices -> dense fp16 [N,K]) re-emitted as a const with BLOBFILE payload unb..."
986,const,direct-const,constant data; filtered before the program stream (ANEH13Compiler.mm:1391-1393)
987,reshape,direct-alias,"compile-loop shape alias: metadata only, no program emitted (ANEH13Compiler.mm:1456-1482)"
